task_id,arrival_time,size_bits,complexity,action,latency,energy
1,0.3894,8727.4,727.6,Cloud,0.105306,0.00031538
2,0.4038,9780.6,785.0,Cloud,0.107346,0.00035344
3,0.9245,2153.0,505.3,Cloud,0.097104,7.78e-05
4,0.9362,9340.9,679.5,Cloud,0.103774,0.00033755
5,1.0007,4990.7,304.5,Cloud,0.090752,0.00018035
6,1.016,1574.4,844.9,Cloud,0.108352,5.689e-05
7,1.0848,7822.8,419.1,Cloud,0.094911,0.00028269
8,1.3911,9038.1,800.5,Cloud,0.107774,0.00032661
9,1.4606,5200.5,139.4,Cloud,0.085274,0.00018793
10,1.4906,7147.4,770.3,Cloud,0.106537,0.00025829
11,1.7013,3932.4,433.4,Cloud,0.094921,0.00014211
12,1.7781,2705.2,216.9,Cloud,0.087557,9.776e-05
13,1.8318,3042.2,702.8,Cloud,0.103794,0.00010994
14,2.0541,8494.1,730.2,Cloud,0.105364,0.00030695
15,2.0662,8490.3,824.3,Cloud,0.108499,0.00030682
16,2.2532,3595.0,714.2,Cloud,0.104241,0.00012991
17,2.2809,2799.2,106.6,Cloud,0.083891,0.00010115
18,2.3088,6983.7,734.6,Cloud,0.10533,0.00025237
19,2.4027,5130.2,611.9,Cloud,0.101014,0.00018539
20,2.4629,2030.8,701.6,Cloud,0.10363,7.339e-05
21,2.6922,6087.1,788.5,Cloud,0.107017,0.00021997
22,3.0433,5982.2,603.3,Cloud,0.10083,0.00021618
23,3.1421,1277.4,493.0,Cloud,0.096589,4.616e-05
24,3.2456,4676.8,868.1,Cloud,0.109499,0.000169
25,3.301,1524.7,353.2,Cloud,0.091959,5.51e-05
26,3.7266,6957.2,601.3,Cloud,0.100882,0.00025142
27,3.8521,6978.8,465.7,Cloud,0.096366,0.0002522
28,3.8745,2502.8,120.4,Cloud,0.084316,9.044e-05
29,3.8836,7501.2,515.7,Cloud,0.098093,0.00027107
30,3.9479,5509.4,237.1,Cloud,0.088566,0.00019909
31,4.2676,5015.4,442.9,Cloud,0.095368,0.00018124
32,4.3011,6672.5,425.6,Cloud,0.094991,0.00024113
33,4.3137,2062.1,965.7,Cloud,0.112439,7.452e-05
34,4.4818,7297.4,339.3,Cloud,0.092188,0.00026371
35,4.6682,8008.8,745.2,Cloud,0.105805,0.00028941
36,4.8461,3450.2,186.8,Cloud,0.086641,0.00012468
37,5.2036,5102.0,282.1,Cloud,0.090019,0.00018437
38,5.2553,6213.0,259.1,Cloud,0.089385,0.00022452
39,5.3694,7826.7,747.5,Cloud,0.10586,0.00028283
40,5.5646,6645.8,625.7,Cloud,0.101657,0.00024016
41,5.6404,1760.0,474.2,Cloud,0.09602,6.36e-05
42,5.6521,5445.9,396.9,Cloud,0.093885,0.0001968
43,5.7012,1930.6,628.9,Cloud,0.101195,6.977e-05
44,5.8358,9326.1,623.0,Cloud,0.101889,0.00033702
45,6.1152,6318.2,120.5,Cloud,0.084779,0.00022832
46,7.0205,5340.7,804.5,Cloud,0.107459,0.000193
47,7.0611,5379.9,541.6,Cloud,0.098703,0.00019442
48,7.3301,6145.6,526.1,Cloud,0.098278,0.00022208
49,7.4181,3984.1,568.6,Cloud,0.099433,0.00014398
50,7.5203,1194.5,843.7,Cloud,0.108266,4.317e-05
51,7.9385,2262.2,598.6,Cloud,0.100227,8.175e-05
52,7.9665,7050.2,353.1,Cloud,0.09262,0.00025477
53,8.078,7543.0,791.8,Cloud,0.107301,0.00027258
54,8.1098,9244.1,307.2,Cloud,0.091353,0.00033406
55,8.1578,5993.7,433.8,Cloud,0.095183,0.00021659
56,8.4744,8274.3,385.4,Cloud,0.093844,0.00029901
57,8.5335,3618.3,563.6,Cloud,0.099221,0.00013075
58,8.6262,9424.4,248.1,Cloud,0.089407,0.00034057
59,8.6572,4915.9,993.1,Cloud,0.113697,0.00017765
60,8.8159,7737.5,901.7,Cloud,0.110989,0.00027961
61,9.0138,5669.7,384.3,Cloud,0.093494,0.00020489
62,9.3896,6955.0,436.3,Cloud,0.095381,0.00025133
63,9.4047,7721.1,336.2,Cloud,0.092137,0.00027902
64,9.8114,3168.7,210.5,Cloud,0.087398,0.00011451
65,9.9863,2379.6,261.3,Cloud,0.088998,8.599e-05
66,10.0319,8871.1,276.8,Cloud,0.090295,0.00032058
67,10.0749,7996.6,974.6,Cloud,0.113451,0.00028898
68,10.2564,2295.1,112.5,Cloud,0.084028,8.294e-05
69,10.3294,2186.4,709.9,Cloud,0.103926,7.901e-05
70,10.3472,5557.0,724.8,Cloud,0.104831,0.00020081
71,10.8255,2798.0,823.7,Cloud,0.107794,0.00010111
72,10.9528,7650.9,218.0,Cloud,0.088187,0.00027648
73,11.0083,9348.1,457.8,Cloud,0.096387,0.00033781
74,11.1165,5397.3,696.6,Cloud,0.103869,0.00019504
76,11.3146,5996.8,670.6,Cloud,0.103075,0.00021671
75,11.3089,3578.0,932.3,Cloud,0.111509,0.0001293
77,11.3877,2263.1,477.2,Cloud,0.096179,8.178e-05
78,11.7253,6364.4,939.7,Cloud,0.112091,0.00022999
79,12.2202,5206.4,806.3,Cloud,0.107503,0.00018815
80,12.2303,1982.3,846.5,Cloud,0.108455,7.163e-05
81,12.3378,3093.8,577.7,Cloud,0.099629,0.0001118
82,12.7503,8809.7,642.8,Cloud,0.102488,0.00031836
83,12.9187,4367.7,483.3,Cloud,0.096636,0.00015783
84,13.1482,8807.4,508.5,Cloud,0.098011,0.00031828
85,13.1985,3130.0,771.4,Cloud,0.106091,0.00011311
86,13.4838,1947.5,159.9,Cloud,0.085565,7.038e-05
87,13.544,2315.6,842.2,Cloud,0.108352,8.368e-05
88,13.6253,2294.8,928.9,Cloud,0.111239,8.293e-05
89,13.6757,3562.5,238.3,Cloud,0.088371,0.00012874
90,13.7605,1190.3,149.9,Cloud,0.085139,4.302e-05
91,13.7623,6320.3,712.6,Cloud,0.104516,0.0002284
92,13.8778,3861.9,554.1,Cloud,0.098934,0.00013956
93,14.3666,8660.2,139.1,Cloud,0.085681,0.00031295
94,14.3846,3130.7,324.4,Cloud,0.091192,0.00011313
95,14.439,4746.4,144.3,Cloud,0.085383,0.00017152
96,14.4988,5713.8,191.5,Cloud,0.087072,0.00020648
97,14.6606,1467.7,932.4,Cloud,0.111255,5.304e-05
98,14.7029,8592.2,912.4,Cloud,0.111448,0.0003105
99,15.0795,8218.2,801.5,Cloud,0.107708,0.00029698
100,15.3674,8011.0,221.1,Cloud,0.088335,0.00028949
101,15.5617,5628.0,871.8,Cloud,0.109738,0.00020338
102,15.6896,4465.8,675.6,Cloud,0.103058,0.00016138
103,15.84,2257.9,530.1,Cloud,0.097942,8.159e-05
104,15.9104,3093.1,430.8,Cloud,0.094731,0.00011178
105,16.0814,3947.5,441.5,Cloud,0.095193,0.00014265
106,16.1814,3671.9,954.0,Cloud,0.112241,0.00013269
107,16.2491,5328.2,395.5,Cloud,0.093826,0.00019255
108,16.3492,8637.0,687.3,Cloud,0.103951,0.00031212
109,16.5082,5794.5,669.6,Cloud,0.103019,0.0002094
110,16.5854,7614.0,282.2,Cloud,0.090323,0.00027515
111,16.6249,8746.5,218.9,Cloud,0.08835,0.00031607
113,16.8248,9423.5,223.7,Cloud,0.088591,0.00034054
112,16.8104,1855.9,753.1,Cloud,0.105328,6.707e-05
114,17.5816,8208.0,634.3,Cloud,0.102133,0.00029661
115,17.7448,8156.0,951.4,Cloud,0.112697,0.00029474
116,17.8682,6310.7,185.5,Cloud,0.086945,0.00022805
117,18.7613,2541.6,608.5,Cloud,0.100588,9.185e-05
118,18.8591,5193.9,570.4,Cloud,0.099638,0.00018769
119,19.207,8193.2,542.9,Cloud,0.099085,0.00029608
120,19.4694,9381.1,207.8,Cloud,0.088055,0.00033901
121,19.56,1789.4,692.1,Cloud,0.103285,6.466e-05
122,19.5982,7968.9,704.1,Cloud,0.10443,0.00028797
123,19.6205,9085.3,786.3,Cloud,0.107304,0.00032832
124,19.7065,4277.7,383.0,Cloud,0.093282,0.00015459
125,19.7408,2330.1,942.5,Cloud,0.111698,8.42e-05
126,20.141,4449.9,756.7,Cloud,0.10576,0.00016081
127,20.365,9425.3,802.3,Cloud,0.107878,0.0003406
128,20.446,4387.2,988.0,Cloud,0.113461,0.00015854
129,20.5711,9560.8,206.6,Cloud,0.088039,0.0003455
130,20.7517,6733.7,209.7,Cloud,0.087802,0.00024334
131,20.9499,7174.9,111.1,Cloud,0.084567,0.00025928
132,21.0413,8428.6,365.8,Cloud,0.093209,0.00030459
133,21.5109,4980.8,371.7,Cloud,0.092991,0.00017999
134,21.5678,8031.6,199.5,Cloud,0.087618,0.00029024
135,21.6393,8532.1,195.8,Cloud,0.087554,0.00030833
137,21.9453,3167.5,228.7,Cloud,0.088006,0.00011446
136,21.9354,1814.0,907.3,Cloud,0.110463,6.555e-05
138,22.3078,2783.8,919.6,Cloud,0.110988,0.0001006
139,22.6709,1325.5,104.9,Cloud,0.083656,4.79e-05
140,22.6992,6453.3,821.3,Cloud,0.108155,0.00023321
141,22.7583,8644.7,151.5,Cloud,0.086092,0.00031239
142,23.0186,9350.2,794.9,Cloud,0.107623,0.00033789
143,23.3937,8541.8,136.1,Cloud,0.085567,0.00030868
144,23.5311,2124.3,554.1,Cloud,0.098725,7.677e-05
145,23.9033,6670.1,866.0,Cloud,0.109671,0.00024104
146,23.9453,7611.6,273.7,Cloud,0.090041,0.00027506
147,24.1927,7389.1,982.2,Cloud,0.11363,0.00026702
148,24.2719,1490.5,654.7,Cloud,0.102002,5.386e-05
149,24.2931,8957.3,738.6,Cloud,0.1057,0.00032369
150,24.3522,1825.5,265.2,Cloud,0.089059,6.597e-05
151,24.5841,5127.0,805.7,Cloud,0.107473,0.00018528
152,25.1487,6151.7,230.6,Cloud,0.088428,0.00022231
153,25.6881,3712.1,620.2,Cloud,0.101121,0.00013414
155,25.752,5575.2,463.6,Cloud,0.096126,0.00020147
154,25.7398,6843.1,946.5,Cloud,0.112375,0.00024729
156,25.7953,2073.0,220.7,Cloud,0.087606,7.491e-05
157,25.8001,3742.3,485.1,Cloud,0.096621,0.00013524
158,25.9702,6711.7,470.6,Cloud,0.096496,0.00024254
159,26.1519,2958.7,629.5,Cloud,0.101339,0.00010692
160,26.2854,1324.5,476.6,Cloud,0.096045,4.787e-05
161,26.3286,3030.3,615.2,Cloud,0.100872,0.00010951
162,26.3385,7318.0,683.2,Cloud,0.103653,0.00026445
163,26.3564,3845.9,808.7,Cloud,0.10742,0.00013898
164,26.4087,4882.8,663.4,Cloud,0.102702,0.00017645
165,26.6209,5614.7,763.0,Cloud,0.106111,0.0002029
166,26.6523,9289.5,553.3,Cloud,0.099561,0.0003357
167,26.7715,8198.8,383.0,Cloud,0.093754,0.00029628
168,26.968,5447.3,204.3,Cloud,0.087465,0.00019685
169,26.9713,8577.9,150.0,Cloud,0.086034,0.00030998
170,27.004,4007.2,255.7,Cloud,0.089006,0.00014481
171,27.106,7684.2,113.2,Cloud,0.084699,0.00027769
172,27.4737,8708.9,435.0,Cloud,0.09555,0.00031472
173,27.5426,6407.6,207.7,Cloud,0.087695,0.00023155
174,27.7048,9625.9,995.9,Cloud,0.114357,0.00034785
175,28.1496,3798.7,718.9,Cloud,0.104421,0.00013727
177,28.3426,2881.5,572.6,Cloud,0.099433,0.00010413
176,28.3401,4490.6,676.8,Cloud,0.103101,0.00016228
178,28.3973,2493.2,852.7,Cloud,0.108723,9.01e-05
179,28.4967,9912.9,227.4,Cloud,0.088775,0.00035822
180,28.5902,4533.2,172.0,Cloud,0.086281,0.00016382
181,28.7519,4904.0,522.4,Cloud,0.098004,0.00017722
183,28.7981,3095.7,362.9,Cloud,0.092468,0.00011187
182,28.7902,2628.3,916.4,Cloud,0.110863,9.498e-05
184,28.8477,6278.0,544.0,Cloud,0.098888,0.00022687
185,28.8794,3193.0,859.2,Cloud,0.109026,0.00011539
186,29.0123,6842.3,703.2,Cloud,0.104264,0.00024726
187,29.1112,1523.0,429.9,Cloud,0.094515,5.504e-05
188,29.2217,4046.1,860.0,Cloud,0.109155,0.00014622
189,29.4415,7917.6,866.8,Cloud,0.109848,0.00028612
190,29.9182,9186.0,628.4,Cloud,0.102054,0.00033196
191,30.2427,4065.3,548.9,Cloud,0.098788,0.00014691
192,30.3192,1944.8,458.7,Cloud,0.095524,7.028e-05
193,30.7509,6677.5,259.8,Cloud,0.089463,0.00024131
194,30.9173,2724.4,122.3,Cloud,0.084406,9.845e-05
195,31.6098,5033.9,376.8,Cloud,0.093166,0.00018191
196,31.6928,1065.8,350.2,Cloud,0.091802,3.852e-05
197,31.9671,6703.9,983.6,Cloud,0.113595,0.00024226
198,32.0797,5297.6,785.3,Cloud,0.106814,0.00019144
199,32.2501,7486.3,966.9,Cloud,0.113131,0.00027053
200,32.3397,8801.2,202.7,Cloud,0.087817,0.00031805
201,32.4912,4960.8,597.8,Cloud,0.100524,0.00017927
202,32.799,9728.3,986.1,Cloud,0.114043,0.00035155
203,32.9313,7603.8,775.0,Cloud,0.106749,0.00027478
204,33.0542,2114.8,136.9,Cloud,0.084816,7.642e-05
205,33.709,5407.3,987.0,Cloud,0.113551,0.0001954
206,34.383,9801.3,470.4,Cloud,0.096861,0.00035419
207,34.4887,1763.4,599.9,Cloud,0.10021,6.372e-05
209,34.6915,4354.3,143.8,Cloud,0.085319,0.00015735
208,34.6846,9322.3,840.3,Cloud,0.109134,0.00033688
