task_id,arrival_time,size_bits,complexity,action,latency,energy
5,1.0007,4990.7,304.5,Local,0.60903,0.30451485
9,1.4606,5200.5,139.4,Local,0.278847,0.13942339
1,0.3894,8727.4,727.6,Local,1.455262,0.72763123
7,1.0848,7822.8,419.1,Local,0.838147,0.41907337
3,0.9245,2153.0,505.3,Local,1.010695,0.50534734
2,0.4038,9780.6,785.0,Local,1.570051,0.78502573
12,1.7781,2705.2,216.9,Local,0.433859,0.21692935
4,0.9362,9340.9,679.5,Local,1.358957,0.67947861
17,2.2809,2799.2,106.6,Local,0.213252,0.10662604
11,1.7013,3932.4,433.4,Local,0.866827,0.43341374
6,1.016,1574.4,844.9,Local,1.689736,0.84486805
8,1.3911,9038.1,800.5,Local,1.60109,0.80054515
10,1.4906,7147.4,770.3,Local,1.540572,0.77028594
13,1.8318,3042.2,702.8,Local,1.405665,0.7028326
14,2.0541,8494.1,730.2,Local,1.460477,0.73023859
19,2.4027,5130.2,611.9,Local,1.223734,0.61186708
16,2.2532,3595.0,714.2,Local,1.428492,0.71424595
15,2.0662,8490.3,824.3,Local,1.648576,0.82428792
18,2.3088,6983.7,734.6,Local,1.469298,0.73464884
20,2.4629,2030.8,701.6,Local,1.403125,0.70156267
25,3.301,1524.7,353.2,Local,0.706491,0.3532455
28,3.8745,2502.8,120.4,Local,0.240882,0.12044087
23,3.1421,1277.4,493.0,Local,0.986091,0.49304565
22,3.0433,5982.2,603.3,Local,1.206573,0.60328644
21,2.6922,6087.1,788.5,Local,1.576998,0.78849897
30,3.9479,5509.4,237.1,Local,0.474162,0.23708089
27,3.8521,6978.8,465.7,Local,0.931496,0.46574818
29,3.8836,7501.2,515.7,Local,1.031379,0.51568951
26,3.7266,6957.2,601.3,Local,1.202658,0.60132894
24,3.2456,4676.8,868.1,Local,1.736126,0.86806277
32,4.3011,6672.5,425.6,Local,0.851263,0.42563135
31,4.2676,5015.4,442.9,Local,0.885838,0.4429191
34,4.4818,7297.4,339.3,Local,0.678566,0.33928297
36,4.8461,3450.2,186.8,Local,0.373504,0.18675187
37,5.2036,5102.0,282.1,Local,0.564254,0.28212703
