task_id,arrival_time,size_bits,complexity,action,latency,energy
2,0.4038,9780.6,785.0,Cloud,0.107346,0.00035344
3,0.9245,2153.0,505.3,Edge,0.068428,7.78e-05
6,1.016,1574.4,844.9,Cloud,0.108352,5.689e-05
4,0.9362,9340.9,679.5,Edge,0.142489,0.00033755
5,1.0007,4990.7,304.5,Edge,0.115547,0.00018035
8,1.3911,9038.1,800.5,Cloud,0.107774,0.00032661
9,1.4606,5200.5,139.4,Local,0.278847,0.13942339
11,1.7013,3932.4,433.4,Edge,0.05965,0.00014211
12,1.7781,2705.2,216.9,Cloud,0.087557,9.776e-05
1,0.3894,8727.4,727.6,Local,1.455262,0.72763123
13,1.8318,3042.2,702.8,Cloud,0.103794,0.00010994
7,1.0848,7822.8,419.1,Local,0.838147,0.41907337
14,2.0541,8494.1,730.2,Cloud,0.105364,0.00030695
15,2.0662,8490.3,824.3,Cloud,0.108499,0.00030682
16,2.2532,3595.0,714.2,Cloud,0.104241,0.00012991
17,2.2809,2799.2,106.6,Edge,0.018665,0.00010115
19,2.4027,5130.2,611.9,Cloud,0.101014,0.00018539
20,2.4629,2030.8,701.6,Edge,0.09294,7.339e-05
21,2.6922,6087.1,788.5,Edge,0.104296,0.00021997
10,1.4906,7147.4,770.3,Local,1.540572,0.77028594
22,3.0433,5982.2,603.3,Edge,0.081131,0.00021618
24,3.2456,4676.8,868.1,Cloud,0.109499,0.000169
25,3.301,1524.7,353.2,Cloud,0.091959,5.51e-05
18,2.3088,6983.7,734.6,Local,1.469298,0.73464884
26,3.7266,6957.2,601.3,Edge,0.081004,0.00025142
28,3.8745,2502.8,120.4,Cloud,0.084316,9.044e-05
27,3.8521,6978.8,465.7,Edge,0.064059,0.0002522
29,3.8836,7501.2,515.7,Edge,0.097068,0.00027107
30,3.9479,5509.4,237.1,Edge,0.062108,0.00019909
23,3.1421,1277.4,493.0,Local,0.986091,0.49304565
31,4.2676,5015.4,442.9,Edge,0.060969,0.00018124
34,4.4818,7297.4,339.3,Edge,0.048289,0.00026371
35,4.6682,8008.8,745.2,Cloud,0.105805,0.00028941
32,4.3011,6672.5,425.6,Local,0.851263,0.42563135
37,5.2036,5102.0,282.1,Cloud,0.090019,0.00018437
36,4.8461,3450.2,186.8,Local,0.373504,0.18675187
38,5.2553,6213.0,259.1,Cloud,0.089385,0.00022452
40,5.5646,6645.8,625.7,Edge,0.084012,0.00024016
42,5.6521,5445.9,396.9,Cloud,0.093885,0.0001968
43,5.7012,1930.6,628.9,Cloud,0.101195,6.977e-05
44,5.8358,9326.1,623.0,Edge,0.083993,0.00033702
33,4.3137,2062.1,965.7,Local,1.931416,0.9657079
45,6.1152,6318.2,120.5,Local,0.241047,0.12052348
41,5.6404,1760.0,474.2,Local,0.948453,0.47422666
39,5.3694,7826.7,747.5,Local,1.495033,0.74751666
46,7.0205,5340.7,804.5,Cloud,0.107459,0.000193
47,7.0611,5379.9,541.6,Edge,0.073353,0.00019442
48,7.3301,6145.6,526.1,Cloud,0.098278,0.00022208
49,7.4181,3984.1,568.6,Cloud,0.099433,0.00014398
50,7.5203,1194.5,843.7,Cloud,0.108266,4.317e-05
51,7.9385,2262.2,598.6,Cloud,0.100227,8.175e-05
53,8.078,7543.0,791.8,Edge,0.104881,0.00027258
54,8.1098,9244.1,307.2,Edge,0.111655,0.00033406
55,8.1578,5993.7,433.8,Edge,0.117497,0.00021659
57,8.5335,3618.3,563.6,Edge,0.07588,0.00013075
52,7.9665,7050.2,353.1,Local,0.706221,0.35311041
59,8.6572,4915.9,993.1,Cloud,0.113697,0.00017765
60,8.8159,7737.5,901.7,Cloud,0.110989,0.00027961
61,9.0138,5669.7,384.3,Cloud,0.093494,0.00020489
58,8.6262,9424.4,248.1,Local,0.496294,0.24814704
56,8.4744,8274.3,385.4,Local,0.77085,0.385425
62,9.3896,6955.0,436.3,Cloud,0.095381,0.00025133
63,9.4047,7721.1,336.2,Edge,0.047957,0.00027902
64,9.8114,3168.7,210.5,Cloud,0.087398,0.00011451
65,9.9863,2379.6,261.3,Edge,0.037954,8.599e-05
67,10.0749,7996.6,974.6,Cloud,0.113451,0.00028898
68,10.2564,2295.1,112.5,Edge,0.019344,8.294e-05
70,10.3472,5557.0,724.8,Edge,0.096274,0.00020081
66,10.0319,8871.1,276.8,Local,0.553582,0.2767912
71,10.8255,2798.0,823.7,Cloud,0.107794,0.00010111
73,11.0083,9348.1,457.8,Edge,0.063354,0.00033781
75,11.3089,3578.0,932.3,Cloud,0.111509,0.0001293
72,10.9528,7650.9,218.0,Local,0.435904,0.21795198
76,11.3146,5996.8,670.6,Edge,0.089545,0.00021671
69,10.3294,2186.4,709.9,Local,1.419786,0.70989281
80,12.2303,1982.3,846.5,Cloud,0.108455,7.163e-05
79,12.2202,5206.4,806.3,Edge,0.106413,0.00018815
77,11.3877,2263.1,477.2,Local,0.954406,0.47720289
81,12.3378,3093.8,577.7,Cloud,0.099629,0.0001118
74,11.1165,5397.3,696.6,Local,1.393156,0.69657779
